Time,X,Y,Z,Vx,Vy,Vz
3.2,4.69853434562683,0.46469500400126,0.984388214617502,1.18044471740723,0.088559627532959,0.0801479667425156
3.3,4.81657881736755,0.473550966754556,0.992403011291753,1.16501820087433,0.0972591936588287,0.0837469696998596
3.4,4.93308063745499,0.483276886120439,1.00077770826174,1.1484979391098,0.0993885323405266,0.0873198583722115
3.5,5.04793043136597,0.493215739354491,1.00950969409896,1.13568508625031,0.0984280481934547,0.0884216353297234
3.6,5.161498939991,0.503058544173837,1.01835185763193,1.1270524263382,0.0988009348511696,0.0859687775373459
3.7,5.27420418262482,0.512938637658954,1.02694873538567,1.12199008464813,0.100620456039906,0.0774986445903778
3.8,5.38640319108963,0.523000683262944,1.03469859984471,1.11913347244263,0.10338244587183,0.0625860244035721
3.9,5.49831653833389,0.533338927850127,1.04095720228506,1.11714422702789,0.103983797132969,0.0430389232933521
4,5.61003096103668,0.543737307563424,1.0452610946144,1.11450326442719,0.101276375353336,0.0245435927063227
4.1,5.7214812874794,0.553864945098758,1.04771545388503,1.11200177669525,0.0950230434536934,0.00712877791374922
4.2,5.83268146514893,0.563367249444127,1.04842833167641,1.11030244827271,0.0885342136025429,-0.00642333598807454
4.3,5.9437117099762,0.572220670804382,1.0477859980776,1.10907089710236,0.0822284519672394,-0.0171361602842808
4.4,6.05461879968643,0.580443516001105,1.04607238204917,1.10858261585236,0.0765033438801765,-0.0265239514410496
4.5,6.16547706127167,0.588093850389123,1.04341998690506,1.10589849948883,0.0704499110579491,-0.0323281325399876
4.6,6.27606691122055,0.595138841494918,1.04018717365107,1.10415959358215,0.064656563103199,-0.0375562123954296
4.7,6.38648287057877,0.601604497805238,1.03643155241152,1.10094153881073,0.0551262460649014,-0.0420910902321339
4.8,6.49657702445984,0.607117122411728,1.03222244338831,1.09877836704254,0.0478364825248718,-0.0449896827340126
4.9,6.6064548611641,0.611900770664215,1.02772347511491,1.09682023525238,0.0409401170909405,-0.047722265124321
5,6.71613688468933,0.615994782373309,1.02295124860248,1.09484314918518,0.0331853590905666,-0.0499881878495216
5.1,6.82562119960785,0.619313318282366,1.01795242981752,1.09356689453125,0.0276579186320305,-0.0513583868741989
5.2,6.93497788906098,0.622079110145569,1.0128165911301,1.09242928028107,0.0236684940755367,-0.0523811690509319
5.3,7.04422081708908,0.624445959553123,1.00757847422501,1.09073066711426,0.0199625361710787,-0.0524230413138866
5.4,7.15329388380051,0.626442213170231,1.00233617009362,1.08844983577728,0.0163153540343046,-0.0513150505721569
5.5,7.26213886737824,0.628073748573661,0.997204665036406,1.0853887796402,0.0131422905251384,-0.0485829971730709
5.6,7.37067774534226,0.629387977626175,0.992346365319099,1.08154666423798,0.010494333691895,-0.0446515269577503
5.7,7.47883241176606,0.630437410995364,0.987881212623324,1.0769989490509,0.0072492933832109,-0.0397719964385033
5.8,7.58653230667115,0.631162340333686,0.983904012979474,1.07200598716736,0.00336205796338618,-0.0344728007912636
5.9,7.69373290538788,0.631498546130024,0.980456732900348,1.06667733192444,-0.000929173780605197,-0.0291101653128862
5.99999999999999,7.80040063858033,0.631405628751964,0.977545716369059,1.06133329868317,-0.00570158800110221,-0.0239555202424526
6.09999999999999,7.90653396844864,0.630835469951853,0.975150164344814,1.05622637271881,-0.0108450781553984,-0.0193830858916044
6.19999999999999,8.01215660572052,0.629750962136314,0.973211855755653,1.05150198936462,-0.0163101032376289,-0.0157223660498857
6.29999999999999,8.11730680465699,0.628119951812551,0.971639619150665,1.04764533042908,-0.0218279585242271,-0.0132152214646339
6.39999999999999,8.22207133769989,0.625937155960128,0.970318097004201,1.04593777656555,-0.0270714592188597,-0.0113571165129542
6.49999999999999,8.32666511535645,0.623230010038242,0.969182385352906,1.0445818901062,-0.0319753438234329,-0.010210626758635
